date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:44	18911/18911	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2019:56:25%20GMT	https://digikongnft.com/wp-includes/js/underscore.min.js?ver=1.13.3	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-includes/js/underscore.minb37e.js	(from https://digikongnft.com/)
19:38:45	1340/1340	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Jun%202021%2001:20:58%20GMT	https://digikongnft.com/wp-includes/js/wp-util.min.js?ver=6.0.2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-includes/js/wp-util.min5b21.js	(from https://digikongnft.com/)
19:38:45	754/754	---M--	200	added ('OK')	application/javascript	date:Thu,%2029%20Sep%202022%2018:47:22%20GMT	https://digikongnft.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min.js?ver=1.7.7	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/wpforms-lite/assets/js/integrations/elementor/frontend.min1a7b.js	(from https://digikongnft.com/)
19:38:46	211640/211640	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
19:38:46	93372/93372	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2?5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff2	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
19:38:46	114280/114280	---M--	200	added ('OK')	font/woff	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
19:38:46	211480/211480	---M--	200	added ('OK')	font/ttf	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf?5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.ttf	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
19:39:01	318907/318907	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg?5.16.0	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.svg	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
19:40:19	513133/513133	---M--	200	added ('OK')	image/jpeg	date:Fri,%2010%20Jun%202022%2010:27:59%20GMT	http://digikongnft.com/wp-content/uploads/2022/06/dk-banner-2-scaled.jpeg	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/uploads/2022/06/dk-banner-2-scaled.jpg	(from https://digikongnft.com/wp-content/uploads/elementor/css/post-2.css?ver=1663412621)
19:40:43	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:41:06	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:41:19	76764/76764	---M--	200	added ('OK')	font/woff2	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:41:35	90060/90060	---M--	200	added ('OK')	font/woff	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
19:41:59	134040/134040	---M--	200	added ('OK')	font/ttf	date:Tue,%2020%20Sep%202022%2018:47:20%20GMT	https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	C:/Users/HP/Downloads/NFT/digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.ttf	(from https://digikongnft.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=1.3.49)
